season,episode,title,restaurant,latitude,longitude,rating,price,state
1,1,Classics,Mac & Ernie's Roadside Eatery,29.6571703,-99.2764299,4.0,$$,Texas
1,1,Classics,Brint's Diner,37.6922361,-97.3375448,3.5,$,Kansas
1,1,Classics,The Mad Greek Cafe,35.0421963,-117.6675604,3.0,$$,California
1,2,That's Italian,Pizza Palace,35.9603948,-83.9210261,4.0,$,Tennessee
1,2,That's Italian,Hullabaloo Diner,30.5352024,-96.3016282,3.5,$$,Texas
1,2,That's Italian,Four Kegs Sports Pub,36.1672559,-115.1485163,4.0,$$,Nevada
1,3,Blue Plate Special,Patrick's Roadhouse,34.0250724,-118.4965129,3.5,$$,California
1,3,Blue Plate Special,Frosted Mug,41.6689223,-87.7386619,,,Illinois
1,3,Blue Plate Special,The Penguin,35.2270869,-80.8431268,,,North Carolina
1,4,Breakfast,Frank's Diner,42.5846773,-87.8212263,4.0,$,Wisconsin
1,4,Breakfast,Gaffey Street Diner,33.7358518,-118.2922934,,,California
1,4,Breakfast,The Coffee Cup,35.9787638,-114.8337739,4.5,$$,Nevada
1,5,BBQ,Baby Blues BBQ,33.995044,-118.4668875,4.0,$$,California
1,5,BBQ,Louie Mueller BBQ,32.2793121,-99.8812612,4.0,$$,Texas
1,5,BBQ,Barbecue King Drive-In,35.2270869,-80.8431268,,,North Carolina
1,6,Local Legends,Eveready Diner,41.7847232,-73.9332461,3.5,$$,New York
1,6,Local Legends,Leo's BBQ,35.4729886,-97.5170536,4.0,$$,Oklahoma
1,6,Local Legends,A1 Diner,44.230441,-69.775543,4.0,$$,Maine
1,7,Burgers,Triple XXX Restaurant,40.4258686,-86.9080655,4.0,$$,Indiana
1,7,Burgers,Hackney's,42.0700662,-87.8114044,,,Illinois
1,7,Burgers,Squeeze Inn,38.5815719,-121.4943996,3.5,$$,California
1,8,House Specials,Red Arrow Diner,42.9956397,-71.4547891,4.0,$,New Hampshire
1,8,House Specials,Hank's Creekside Restaurant,38.4404925,-122.7141049,4.0,$$,California
1,8,House Specials,Voula's Offshore Café,47.6038321,-122.3300624,4.0,$$,Washington
1,9,Retro,South Side Soda Shop and Diner,41.5824086,-85.834366,4.0,$$,Indiana
1,9,Retro,Taylor's Automatic Refresher,38.5052288,-122.4700424,5.0,,California
1,9,Retro,Byways Café,45.5202471,-122.6741949,4.0,$$,Oregon
1,10,Worth the Trip,Big Star Diner,47.6262725,-122.5209287,,,Washington
1,10,Worth the Trip,Harold's Café,35.0717945,-81.6498195,,,South Carolina
1,10,Worth the Trip,Mo Gridder's BBQ,40.8466508,-73.8785937,,,New York
1,11,Diners A-Plenty,Kelly's Diner,42.3875968,-71.0994968,4.0,$,Massachusetts
1,11,Diners A-Plenty,Bay Way Diner,40.6220478,-74.2445902,,,New Jersey
1,11,Diners A-Plenty,Bay Way Diner,40.6220478,-74.2445902,,,New Jersey
1,11,Diners A-Plenty,Beacon Drive-In,34.9498007,-81.9320157,3.0,$,South Carolina
1,12,American Cookin' ,Rosie's Diner,43.119721,-85.559604,,,Michigan
1,12,American Cookin' ,Dari-ette Drive-In,44.9504037,-93.1015026,3.5,$,Minnesota
1,12,American Cookin' ,The Russian River Pub,38.4833405,-122.86158427486583,4.0,$$,California
1,12,American Cookin' ,Al's Breakfast,44.9772995,-93.2654692,4.0,$$,Minnesota
1,12,American Cookin' ,Al's Breakfast,44.9772995,-93.2654692,4.0,$$,Minnesota
1,12,American Cookin' ,Al's Breakfast,44.9772995,-93.2654692,4.0,$$,Minnesota
